name,mood,description,latitude,longitude,vehicle,rating,opening_hours
Pashupatinath Temple,Spiritual,Famous Hindu temple and UNESCO site,27.7104,85.3488,Walk Taxi Car,4.9,4AM-9PM
Boudhanath Stupa,Spiritual,Peaceful Buddhist stupa,27.7215,85.3620,Walk Taxi Car,4.8,24 Hours
Swayambhunath Temple,Spiritual,Ancient monkey temple,27.7149,85.2900,Walk Taxi Car,4.8,5AM-8PM
Kopan Monastery,Spiritual,Famous meditation monastery,27.7423,85.3671,Taxi Car,4.8,6AM-6PM
Lumbini,Spiritual,Birthplace of Buddha,27.4833,83.2767,Bus Car,4.9,24 Hours
Namobuddha,Spiritual,Peaceful monastery destination,27.5970,85.5434,Bike Car,4.8,6AM-7PM
Muktinath Temple,Spiritual,Sacred Himalayan temple,28.8167,83.8719,Jeep Trek,4.9,24 Hours
Janaki Temple,Spiritual,Famous temple in Janakpur,26.7288,85.9250,Taxi Car,4.7,5AM-9PM
Garden of Dreams,Calm,Peaceful garden area,27.7152,85.3125,Walk Taxi,4.6,9AM-10PM
Begnas Lake,Calm,Quiet lake destination,28.1736,84.1034,Car Bike,4.7,24 Hours
Rara Lake,Calm,Beautiful serene lake,29.5286,82.0750,Jeep Flight,4.9,24 Hours
Shivapuri National Park,Calm,Natural forest hiking area,27.8170,85.4112,Bike Car,4.7,6AM-6PM
Pokhara Lakeside,Romantic,Romantic lakeside cafes,28.2096,83.9596,Walk Bike,4.8,24 Hours
Bandipur,Romantic,Historic romantic hill town,27.9370,84.4060,Car Bike,4.7,24 Hours
Dhulikhel Viewpoint,Romantic,Beautiful hill scenery,27.6220,85.5428,Car Bike,4.6,24 Hours
Nagarkot,Romantic,Sunrise mountain destination,27.7172,85.5200,Bike Car,4.7,24 Hours
Sarangkot,Adventure,Paragliding and hiking destination,28.2420,83.9482,Bike Car,4.8,24 Hours
Annapurna Base Camp,Adventure,World famous trekking route,28.5300,83.8700,Trek Jeep,4.9,24 Hours
Everest Base Camp,Adventure,Legendary Himalayan trekking route,28.0043,86.8570,Flight Trek,5.0,24 Hours
Chandragiri Hills,Adventure,Cable car adventure destination,27.6588,85.2057,Car Bike,4.7,8AM-6PM
Bhotekoshi River,Adventure,Rafting and bungee location,27.8045,85.9740,Bus Car,4.8,24 Hours
Civil Mall,Happy,Shopping and entertainment center,27.7010,85.3136,Walk Taxi,4.3,9AM-9PM
Thamel,Happy,Nightlife and entertainment hub,27.7172,85.3123,Walk Taxi,4.7,24 Hours
Kathmandu Durbar Square,Happy,Historic lively tourist area,27.7049,85.3075,Walk Taxi,4.7,6AM-9PM
Pokhara Street Festival Area,Happy,Music food cultural area,28.2090,83.9580,Walk Bike,4.8,24 Hours